10,23

1,1,1,1,?,?,1,1,1,1
1,1,1,1,0,0,1,1,1,1
1,2,2,2,0,0,0,0,0,1
1,2,2,2,0,0,0,0,0,1
1,2,2,0,0,0,1,0,0,1
1,2,2,0,0,0,1,0,0,1
1,2,2,0,0,0,1,0,0,1
1,2,2,0,0,0,1,0,0,1
1,1,1,1,0,0,1,0,0,1
1,2,2,2,2,0,1,0,0,1
1,2,2,2,2,0,1,0,0,1
1,0,0,1,1,1,1,-1,-1,1
1,0,2,2,2,2,0,0,0,1
1,0,2,2,2,2,0,0,0,1
1,1,1,1,1,1,1,0,0,1
1,2,2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,2,2,1
1,2,2,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,2,2,1
1,1,1,1,0,0,1,1,1,1
0,0,0,1,0,0,1,0,0,0
1,1,1,1,town1,town1,1,1,1,1
